Instance;Approach;Solver;Makespan (min);Makespan (avg);Makespan (max);Makespan (std);CPU TIME(ms) (min);CPU TIME(ms) (avg);CPU TIME(ms) (max);CPU TIME(ms) (std)
HurinkSdata1;parallel;ACSV3;69;75,60;81;3,31;17;23,50;59;8,36
HurinkSdata1;parallel;RBASV3;61;69,10;76;3,42;21;45,43;77;18,79
HurinkSdata1;parallel;MMASV3;64;70,67;78;3,73;19;37,87;93;17,52
HurinkSdata1;iterative;greedy;103;103,00;103;0,00;0;0,00;0;0,00
HurinkSdata1;iterative;ACSV3;64;73,43;82;4,23;21;59,37;127;27,66
HurinkSdata10;parallel;MMASV3;1048;1128,27;1198;40,18;32;103,53;529;95,80
HurinkSdata10;parallel;ACSV3;1136;1235,47;1361;53,03;42;55,40;92;11,36
HurinkSdata10;iterative;ACSV3;1117;1215,13;1284;40,27;56;99,27;249;58,53
HurinkSdata10;parallel;RBASV3;1100;1138,43;1187;25,09;35;112,20;335;84,18
HurinkSdata10;iterative;greedy;1425;1425,00;1425;0,00;0;0,00;0;0,00
HurinkSdata11;iterative;greedy;1793;1793,00;1793;0,00;0;0,00;0;0,00
HurinkSdata11;parallel;MMASV3;1109;1189,77;1268;37,06;31;100,93;324;66,79
HurinkSdata11;iterative;ACSV3;1170;1302,20;1404;60,59;56;97,53;298;63,62
HurinkSdata11;parallel;ACSV3;1178;1325,30;1446;59,70;37;51,87;78;11,32
HurinkSdata11;parallel;RBASV3;1114;1195,90;1259;33,79;32;102,73;377;84,51
HurinkSdata12;iterative;ACSV3;1166;1326,00;1483;84,84;60;101,17;260;65,90
HurinkSdata12;parallel;RBASV3;1130;1223,60;1323;41,33;39;107,87;323;70,28
HurinkSdata12;parallel;ACSV3;1226;1361,83;1507;74,18;40;59,07;201;34,40
HurinkSdata12;iterative;greedy;1759;1759,00;1759;0,00;0;0,03;1;0,18
HurinkSdata12;parallel;MMASV3;1137;1231,20;1303;40,74;28;102,40;565;97,02
HurinkSdata13;parallel;RBASV3;1046;1247,97;1354;54,26;38;102,87;417;83,12
HurinkSdata13;iterative;greedy;1985;1985,00;1985;0,00;0;0,00;0;0,00
HurinkSdata13;iterative;ACSV3;1257;1377,07;1496;55,29;55;97,10;221;52,01
HurinkSdata13;parallel;ACSV3;1239;1401,30;1527;80,72;39;53,73;113;15,08
HurinkSdata13;parallel;MMASV3;1091;1262,30;1339;52,67;35;91,53;241;51,94
HurinkSdata14;parallel;MMASV3;1498;1567,60;1645;37,90;68;175,53;482;103,69
HurinkSdata14;iterative;greedy;2704;2704,00;2704;0,00;0;0,03;1;0,18
HurinkSdata14;parallel;ACSV3;1559;1735,30;1908;73,45;40;71,43;101;16,07
HurinkSdata14;iterative;ACSV3;1542;1714,97;1838;65,05;88;132,03;371;80,72
HurinkSdata14;parallel;RBASV3;1465;1551,20;1631;42,34;66;166,50;472;95,51
HurinkSdata15;parallel;RBASV3;1245;1376,70;1468;43,73;67;158,63;861;153,22
HurinkSdata15;parallel;ACSV3;1421;1530,60;1657;58,91;42;72,60;115;17,80
HurinkSdata15;parallel;MMASV3;1273;1372,97;1430;42,06;61;156,37;434;106,41
HurinkSdata15;iterative;ACSV3;1389;1526,80;1621;54,95;88;129,93;339;70,96
HurinkSdata15;iterative;greedy;2059;2059,00;2059;0,00;0;0,03;1;0,18
HurinkSdata16;parallel;ACSV3;1454;1689,23;1846;91,19;42;75,20;118;21,09
HurinkSdata16;parallel;MMASV3;1414;1506,33;1573;42,11;61;156,50;583;123,29
HurinkSdata16;iterative;ACSV3;1510;1669,27;1819;75,76;89;127,77;324;75,35
HurinkSdata16;parallel;RBASV3;1400;1506,40;1579;42,57;71;147,83;436;80,89
HurinkSdata16;iterative;greedy;2368;2368,00;2368;0,00;0;0,03;1;0,18
HurinkSdata17;iterative;greedy;2126;2126,00;2126;0,00;0;0,03;1;0,18
HurinkSdata17;parallel;ACSV3;1487;1738,30;1902;87,49;62;74,63;101;9,18
HurinkSdata17;parallel;MMASV3;1408;1577,70;1692;63,64;61;165,07;579;130,96
HurinkSdata17;parallel;RBASV3;1445;1565,10;1649;50,63;68;174,27;641;138,59
HurinkSdata17;iterative;ACSV3;1563;1732,33;1870;80,99;90;127,50;377;73,11
HurinkSdata18;parallel;MMASV3;1519;1627,13;1709;49,11;69;151,57;430;90,80
HurinkSdata18;parallel;RBASV3;1471;1640,10;1716;50,18;64;159,17;828;155,44
HurinkSdata18;iterative;greedy;2291;2291,00;2291;0,00;0;0,03;1;0,18
HurinkSdata18;iterative;ACSV3;1589;1769,03;1869;72,04;91;134,90;362;74,22
HurinkSdata18;parallel;ACSV3;1568;1794,87;1905;74,46;39;76,80;107;15,71
HurinkSdata19;iterative;greedy;2801;2801,00;2801;0,00;0;0,00;0;0,00
HurinkSdata19;parallel;ACSV3;1352;1502,37;1620;67,60;54;64,03;102;11,48
HurinkSdata19;parallel;RBASV3;1262;1368,37;1492;56,67;29;109,57;286;78,01
HurinkSdata19;iterative;ACSV3;1399;1508,50;1643;58,98;69;110,63;306;75,26
HurinkSdata19;parallel;MMASV3;1264;1357,53;1446;47,01;30;100,20;674;128,27
HurinkSdata2;parallel;RBASV3;1368;1476,63;1569;51,52;28;96,43;401;72,14
HurinkSdata2;parallel;MMASV3;1347;1474,43;1569;52,01;31;101,27;398;92,86
HurinkSdata2;iterative;ACSV3;1473;1587,10;1700;55,74;69;110,00;333;76,52
HurinkSdata2;parallel;ACSV3;1449;1610,73;1730;78,80;50;65,47;97;13,00
HurinkSdata2;iterative;greedy;2617;2617,00;2617;0,00;0;0,00;0;0,00
HurinkSdata20;parallel;ACSV3;1249;1354,93;1516;79,11;50;64,00;90;8,67
HurinkSdata20;parallel;RBASV3;1084;1205,73;1350;68,41;33;99,70;577;104,61
HurinkSdata20;iterative;greedy;1965;1965,00;1965;0,00;0;0,03;1;0,18
HurinkSdata20;parallel;MMASV3;1132;1220,73;1291;39,89;26;96,60;228;52,06
HurinkSdata20;iterative;ACSV3;1228;1351,10;1452;44,09;68;113,40;281;70,27
HurinkSdata21;iterative;greedy;2310;2310,00;2310;0,00;0;0,03;1;0,18
HurinkSdata21;parallel;MMASV3;1149;1303,30;1394;52,08;29;105,10;314;83,29
HurinkSdata21;parallel;RBASV3;1149;1295,40;1392;55,03;32;97,23;328;64,42
HurinkSdata21;iterative;ACSV3;1244;1394,80;1532;68,24;69;113,70;333;69,51
HurinkSdata21;parallel;ACSV3;1230;1421,40;1593;96,55;50;65,43;94;8,49
HurinkSdata22;iterative;ACSV3;1241;1421,03;1607;82,61;68;108,83;329;68,19
HurinkSdata22;parallel;MMASV3;1219;1306,23;1412;48,39;28;113,43;699;144,78
HurinkSdata22;parallel;ACSV3;1253;1462,47;1643;82,86;48;66,80;108;13,23
HurinkSdata22;parallel;RBASV3;1199;1307,83;1396;51,80;30;96,37;323;57,12
HurinkSdata22;iterative;greedy;2142;2142,00;2142;0,00;0;0,03;1;0,18
HurinkSdata23;iterative;ACSV3;1294;1522,20;1720;91,93;68;108,87;258;58,63
HurinkSdata23;parallel;MMASV3;1295;1383,10;1490;46,96;27;107,37;509;103,22
HurinkSdata23;iterative;greedy;2665;2665,00;2665;0,00;0;0,03;1;0,18
HurinkSdata23;parallel;ACSV3;1354;1528,37;1783;91,93;52;64,83;106;9,98
HurinkSdata23;parallel;RBASV3;1229;1373,90;1503;64,36;31;99,93;242;54,52
HurinkSdata24;iterative;greedy;3311;3311,00;3311;0,00;0;0,03;1;0,18
HurinkSdata24;parallel;RBASV3;1601;1765,07;1850;57,53;75;198,83;871;150,85
HurinkSdata24;parallel;MMASV3;1711;1779,70;1853;38,15;74;176,20;532;119,10
HurinkSdata24;iterative;ACSV3;1772;1949,23;2106;84,77;141;174,10;518;88,25
HurinkSdata24;parallel;ACSV3;1659;1968,57;2126;94,01;45;85,83;125;31,62
HurinkSdata25;parallel;ACSV3;1696;1904,93;2091;90,34;44;90,93;194;38,77
HurinkSdata25;iterative;ACSV3;1674;1910,40;2124;101,80;139;178,13;501;81,51
HurinkSdata25;parallel;MMASV3;1607;1725,77;1857;60,92;73;176,80;426;93,18
HurinkSdata25;iterative;greedy;2457;2457,00;2457;0,00;0;0,03;1;0,18
HurinkSdata25;parallel;RBASV3;1636;1713,20;1789;43,47;88;202,40;768;168,70
HurinkSdata26;iterative;ACSV3;1772;1899,47;2047;86,45;140;180,17;498;80,61
HurinkSdata26;parallel;ACSV3;1721;1955,33;2116;106,96;45;89,00;165;36,42
HurinkSdata26;parallel;MMASV3;1583;1727,30;1858;54,78;78;175,10;1040;196,25
HurinkSdata26;parallel;RBASV3;1466;1721,03;1822;75,74;77;204,43;647;133,36
HurinkSdata26;iterative;greedy;3484;3484,00;3484;0,00;0;0,10;1;0,31
HurinkSdata27;iterative;ACSV3;1738;1916,57;2048;79,07;137;174,90;632;96,16
HurinkSdata27;parallel;RBASV3;1584;1727,83;1841;68,86;85;185,27;439;96,79
HurinkSdata27;parallel;MMASV3;1596;1714,20;1820;62,80;70;185,17;1252;227,49
HurinkSdata27;iterative;greedy;2672;2672,00;2672;0,00;0;0,03;1;0,18
HurinkSdata27;parallel;ACSV3;1663;1920,83;2125;105,72;45;88,53;136;29,07
HurinkSdata28;iterative;greedy;3507;3507,00;3507;0,00;0;0,03;1;0,18
HurinkSdata28;iterative;ACSV3;1694;1878,53;2003;71,93;132;173,77;505;87,78
HurinkSdata28;parallel;MMASV3;1562;1708,60;1851;72,98;78;169,57;593;103,71
HurinkSdata28;parallel;ACSV3;1747;1940,10;2133;88,16;44;86,43;160;35,23
